handle,gender,tweet,category,topic,date,lat,long,location,state
_literallypare,female,#NewYearsResolution stay up to date with everything going on within my family because I'm so out of the loop.,Family/Friends/Relationships,Spend more time with family,12/23/2014,59.1141667,-156.8588889,"Levelock, AK, USA",Alaska
kjhops7,male,Just got paid for the last time in 2014. Throwing it all in savings for my trip back home in June #NewYearsResolution,Finance,Save money,12/30/2014,59.7872222,-154.1061111,"Pedro Bay, AK, USA",Alaska
Trini_naee,female,I Want To Make GOOD FRIENDS in 2015 #newyearsresolution,Family/Friends/Relationships,Make new friends,12/30/2014,64.2008413,-149.4936733,"Alaska, USA",Alaska
foto_alaska,male,“@fryeme: I think I don't tweet enough. New Years resolution? Naw... I won't keep it. #NewYearsResolution” You have a voice… so tweet it!👍👍!,Humor,Other,12/30/2014,61.2180556,-149.9002778,"Anchorage, AK, USA",Alaska
Cage211,male,My #NewYearsResolution is to make it on #AreYouTheOne and go to the GYM more,Health & Fitness,Go to the gym more,1/1/2015,32.2217429,-110.926479,"Tucson, AZ, USA",Arizona
waltzingzombie,female,My #NewYearsResolution ? Watching every season of Friends ! #Netflix #GoalsFor2015,Recreation & Leisure,Spend more time on my hobby,12/31/2014,33.4255104,-111.9400054,"Tempe, AZ, USA",Arizona
cinnmn,female,Haven't broke a #NewYearsResolution yet. Diet game going strong still,Health & Fitness,Eat healthier,1/1/2015,41.8144326,-96.1336262,"Arizona, NE 68061, USA",Arizona
ShoobieAnn,female,From someone's @Pinterest - ♡ #2015 #NewYearsResolution #livelifehappy http://t.co/WzgTaGmPpr,Personal Growth,Respect Others,12/31/2014,33.3528264,-111.789027,"Gilbert, AZ, USA",Arizona
pcinphoenix,male,My #NewYearsResolution is to stop procrastinating. I'll start it either next week or maybe the week after.,Humor,Humor about Personal Growth and Interests Resolutions,12/31/2014,33.4483771,-112.0740373,"Phoenix, AZ, USA",Arizona
Michael_Rokicki,male,My #NewYearsResolution is to go to a @Suns game. #FuelTheFire,Recreation & Leisure,Take a trip,12/31/2014,33.4255104,-111.9400054,"Tempe, AZ, USA",Arizona
KdLaCruX,female,Real Goals: I will not be pressured by that gay MAC makeup-artist to buythat lipstick he said makes melook like Beyoncé.#NewYearsResolution,Personal Growth,Respect Others,12/31/2014,33.4483771,-112.0740373,"Phoenix, AZ, USA",Arizona
TeddiGenesis,female,"#NewYearsResolution don't backspace, all it takes is 10 seconds of courage",Humor,Humor about Health and Fitness Resolutions,12/31/2014,33.177294,-111.5468301,"San Tan Valley, AZ, USA",Arizona
_fabdann,female,RT @williamjardell: #NewYearsResolution #1 become @Beyonce,Personal Growth,Improve my attitude,12/31/2014,32.6926512,-114.6276916,"Yuma, AZ, USA",Arizona
Juliano_44,male,Planning on taking the Colorado cannabis cup next year tbh #NewYearsResolution #newyearnewme #lmfao,Humor,Humor about Personal Growth and Interests Resolutions,12/30/2014,32.2217429,-110.926479,"Tucson, AZ, USA",Arizona
Miss_Chyna89,female,"Tomorrow is the last day of #2015, Do I have a #NewYearsResolution?? Yes I do. To #SucceedandProceed!! 😘💪💯",Personal Growth,Acheive My Goals,12/30/2014,33.4483771,-112.0740373,"Phoenix, AZ, USA",Arizona
doriowen,female,My first New Years resolution is to try to remember to write 2015 as the date.#NewYearsResolution,Humor,Humor about Health and Fitness Resolutions,12/31/2014,41.8144326,-96.1336262,"Arizona, NE 68061, USA",Arizona
TGoseyun,male,Damn I'm working the last day of 2014 and I'm working the first day of 2015 ! Hope it's like that all year #NewYearsResolution,Personal Growth,Other,12/31/2014,33.1388468,-110.1248403,"Bylas, AZ 85530, USA",Arizona
fanofnmtn,female,RT @AZRogerNaylor: #Arizona #NewYearsResolution Drink in a real saloon. For 10 minutes do nothing but study a cactus flower. http://t.co/P8…,Humor,Humor about Personal Growth and Interests Resolutions,12/31/2014,41.8144326,-96.1336262,"Arizona, NE 68061, USA",Arizona
VMaizes,female,"A healthful #NewYearsResolution: committing to sleeping well!  And, you may want to rethink what that means - http://t.co/9cePZeRzGb",Health & Fitness,Quit smoking,12/31/2014,32.2217429,-110.926479,"Tucson, AZ, USA",Arizona
DustinVissering,male,Never wear sunglasses in the gym! #NewYearsResolution http://t.co/1ZDERlt0ZL,Humor,Humor about Personal Growth and Interests Resolutions,12/31/2014,33.6292337,-112.3679279,"Surprise, AZ, USA",Arizona
ethanmcsweeney,male,#NewYearsResolution Learn how to Twitter better,Personal Growth,Use more social media,12/31/2014,32.2217429,-110.926479,"Tucson, AZ, USA",Arizona
jessjesshans,female,RT @RyanCapouch: Pass all my classes. #NewYearsResolution,Education/Training,Improve Grades,12/31/2014,33.5386523,-112.1859866,"Glendale, AZ, USA",Arizona
RyanCapouch,male,Acquire taste for fine whiskey. #NewYearsResolution,Personal Growth,Have more patience,12/31/2014,33.5386523,-112.1859866,"Glendale, AZ, USA",Arizona
jessjesshans,female,RT @RyanCapouch: Avoid death by scorpion bite. #NewYearsResolution,Humor,Humor about New Years,12/31/2014,33.5386523,-112.1859866,"Glendale, AZ, USA",Arizona
RyanCapouch,male,File taxes on time. #NewYearsResolution,Time Management/Organization,Learn better time management practices,12/31/2014,33.5386523,-112.1859866,"Glendale, AZ, USA",Arizona
Called2Prosper,female,#NewYearsResolution: I will save energy and look for renewable sources of energy. ⚓️,Personal Growth,Other,12/31/2014,33.4483771,-112.0740373,"Phoenix, AZ, USA",Arizona
official_ISO,male,If you ain't cutting off ALL 2014 hoes except for your main bitch you doing it WRONG.... #NewYearsResolution #TheYoungOGProject,Humor,Humor about Personal Growth and Interests Resolutions,1/1/2015,32.2217429,-110.926479,"Tucson, AZ, USA",Arizona
bobbigregory,female,My #NewYearsResolution? Be still. Settle in. And listen. How about you? http://t.co/m44SURhsM9,Personal Growth,Have more patience,1/1/2015,33.4483771,-112.0740373,"Phoenix, AZ, USA",Arizona
JessicaDrown,female,"#NewYearsResolution Shutting down gossip when it creeps, covering those persecuted. 👼",Personal Growth,Gossip Less,1/1/2015,33.4483771,-112.0740373,"Phoenix, AZ, USA",Arizona
doriowen,female,My fourth New Years Resolution 1. Stop getting distracted by the Intern #NewYearsResolution,Recreation & Leisure,Take a cross country trip,1/1/2015,41.8144326,-96.1336262,"Arizona, NE 68061, USA",Arizona
doriowen,female,"My third New Years Resolution 

1. Stop making lists.
B. Be more consistent.
7. Learn to count.

#NewYearsResolution",Humor,Humor about Time Management/Organization Resolutions,1/1/2015,41.8144326,-96.1336262,"Arizona, NE 68061, USA",Arizona
Called2Prosper,female,"#NewYearsResolution

Stop &amp; pray with the homeless, especially when in a time crunch to get somewhere. 🙏",Personal Growth,Respect Others,1/1/2015,33.4483771,-112.0740373,"Phoenix, AZ, USA",Arizona
Called2Prosper,female,"#NewYearsResolution

Make amends through love with those hardest to communicate with. 💝",Family/Friends/Relationships,Spend more time with family,1/1/2015,33.4483771,-112.0740373,"Phoenix, AZ, USA",Arizona
JessicaDrown,female,"#NewYearsResolution

Read minimum of one chapter per day of the Bible. 📖",Personal Growth,Improve my attitude,1/1/2015,33.4483771,-112.0740373,"Phoenix, AZ, USA",Arizona
JessicaDrown,female,"#NewYearsResolution

To forgive all those that hurt me. 💝",Personal Growth,Be more positive,1/1/2015,33.4483771,-112.0740373,"Phoenix, AZ, USA",Arizona
Aleexanddraa,female,@Charmeleon_RR let's hike every mountain in Arizona ? #NewYearsResolution,Recreation & Leisure,Hike more,1/1/2015,33.4355977,-112.3496021,"Avondale, AZ, USA",Arizona
Jancenutt,male,"Final #NewYearsResolution 
4 find out who I am and what I like",Personal Growth,Improve my attitude,1/1/2015,33.4151843,-111.8314724,"Mesa, AZ, USA",Arizona
Jancenutt,male,"#NewYearsResolution 
3 don't fall on love",Family/Friends/Relationships,Find a Girlfriend,1/1/2015,33.4151843,-111.8314724,"Mesa, AZ, USA",Arizona
Jancenutt,male,"#NewYearsResolution 
2 follow my dreams",Personal Growth,Focus on my self,1/1/2015,33.4151843,-111.8314724,"Mesa, AZ, USA",Arizona
BPootah,female,@BPootah *weather...HATE typos #NewYearsResolution #11: Stop obsessing over grammar lol,Humor,Humor about Personal Growth and Interests Resolutions,1/1/2015,33.4483771,-112.0740373,"Phoenix, AZ, USA",Arizona
JessicaDrown,female,"#NewYearsResolution

To show more compassion. ⚓️",Personal Growth,Respect Others,1/1/2015,33.4483771,-112.0740373,"Phoenix, AZ, USA",Arizona
ZaneTheGringo,male,#NewYearsResolution troll the fuck out of Tk @HAMIZMYNAME @KOSDFF 😎,Humor,Humor about Helping Others Resolutions,1/1/2015,41.8144326,-96.1336262,"Arizona, NE 68061, USA",Arizona
AWShurtliff,male,#NewYearsResolution for 2015: create my first illustrated story and buy #byuvocalpoint new CD,Recreation & Leisure,Other,12/31/2014,33.3942223,-110.7864984,"Globe, AZ, USA",Arizona
DougInsureMe,male,#NewYearsResolution - I WILL make an anonymous difference in the lives of two families this year in an effort to #PayItForward.,Family/Friends/Relationships,Propose to my girlfriend / boyfriend,1/1/2015,33.3528264,-111.789027,"Gilbert, AZ, USA",Arizona
Kvonderscher,female,New Years resolution: start being happy with what I have and work on on my anxiety. I have so much to be happy about and I'm so blessed.💕,Personal Growth,Focus on my self,1/1/2015,41.8144326,-96.1336262,"Arizona, NE 68061, USA",Arizona
CESARVALDESFLOR,male,New Years resolution: MAKE MORE MONEY,Finance,Save money,1/1/2015,33.4483771,-112.0740373,"Phoenix, AZ, USA",Arizona
raedabae_,female,New Years resolution is to keep my room clean for more than 3 days,Time Management/Organization,Clean something,1/1/2015,34.9022482,-110.1581768,"Holbrook, AZ 86025, USA",Arizona
CruzSainz,male,My New Years resolution is to try to spend less money on alcohol.,Recreation & Leisure,Go to Europe,1/1/2015,35.189443,-114.0530065,"Kingman, AZ, USA",Arizona
_emily_korcuska,female,"RT @tristinanncott1: ""My New Years resolution is to not be ugly""",Personal Growth,Read more books,1/1/2015,33.4151843,-111.8314724,"Mesa, AZ, USA",Arizona
selenahulgan,female,RT @_hersch: New Years resolution: be nicer to people,Personal Growth,Be more positive,1/1/2015,33.4941704,-111.9260519,"Scottsdale, AZ, USA",Arizona
amo_prak,female,RT @nick__armenta: My New Years resolution is to stop procrastinating and I'm starting tomorrow,Personal Growth,Be more positive,1/1/2015,41.8144326,-96.1336262,"Arizona, NE 68061, USA",Arizona
SeanFilms,male,RT @teennickoficial: New Years resolution: be more successful than at least one person I went to high school with,Personal Growth,Be more positive,1/1/2015,35.9735954,-112.1265569,"Tusayan, AZ, USA",Arizona
emberleighhh,female,RT @morganotis: My only New Years resolution is to not cheat on as many tests as I did in 2014,Education/Training,Improve Grades,1/1/2015,33.4255104,-111.9400054,"Tempe, AZ, USA",Arizona
TheVamps2cool4u,female,My New Years resolution is to stop being mean and sarcastic... We all know it's not happening,Personal Growth,Get a tattoo,1/1/2015,33.4483771,-112.0740373,"Phoenix, AZ, USA",Arizona
BrandoRancheria,male,My new years resolution is to be an asshole because I was too nice in 2014,Humor,Humor about Health and Fitness Resolutions,1/1/2015,41.8144326,-96.1336262,"Arizona, NE 68061, USA",Arizona
lizaleeharper,female,New Years Resolution-To take better care of myself and to find joy in everyday. Work hard so I can play hard. #dreambig #NewYearsResolution,Personal Growth,Get my life together,1/1/2015,33.4483771,-112.0740373,"Phoenix, AZ, USA",Arizona
HaileyAustrian,female,RT @preston_dylan: New Years resolution : get less ugly,Health & Fitness,Lose weight,1/2/2015,41.8144326,-96.1336262,"Arizona, NE 68061, USA",Arizona
leila_008,female,RT @amandajones3434: New Years resolution: have a hot personal trainer,Health & Fitness,Excersize More,1/2/2015,33.4483771,-112.0740373,"Phoenix, AZ, USA",Arizona
bangmemaloley,female,"Totally forgot about my New Years resolution, probs should start following it before it's another goal wasted each year.",Humor,Humor about not Keeping Resolutions,1/2/2015,35.0241873,-110.6973571,"Winslow, AZ 86047, USA",Arizona
reealistic,female,New Years Resolution: Take over the world.,Humor,Humor about Health and Fitness Resolutions,1/2/2015,41.8144326,-96.1336262,"Arizona, NE 68061, USA",Arizona
_DanJimenez,male,I think my new years resolution this year should be to NOT lock my keys in my truck.,Humor,Humor about Personal Growth and Interests Resolutions,1/2/2015,33.5386523,-112.1859866,"Glendale, AZ, USA",Arizona
Eroc38,male,My New Years resolution is to take every day as it comes and do whatever needed to improve myself on all different aspects #realworld,Personal Growth,Be more positive,1/2/2015,33.4232051,-111.8879509,"State Ave, Tempe, AZ 85281, USA",Arizona
tcamosy,female,New Years resolution number one: delete fb off my phone. Number two: Go to spin at 5am twice a week (we will see about this one),Health & Fitness,Run a half / full marathon,1/2/2015,33.4255104,-111.9400054,"Tempe, AZ, USA",Arizona
kekepania822,female,"#NewYearsResolution is learning to say, ""No!"" 🚫",Personal Growth,Be more positive,12/22/2014,32.2217429,-110.926479,"Tucson, AZ, USA",Arizona
Brit_Dyer,female,"#NewYearsResolution #2015 Read more. Take the dog on more runs. Turn my phone off more often. Be creative by writing, crafting, painting...",Personal Growth,Be more positive,12/22/2014,33.4483771,-112.0740373,"Phoenix, AZ, USA",Arizona
kimdolanleto,female,Begin from within and become a new you in Him! #NewYearsResolution #FITGodsWay http://t.co/H4rk16lAqR,Personal Growth,Get my life together,12/26/2014,41.8144326,-96.1336262,"Arizona, NE 68061, USA",Arizona
jacksonbrown25,male,I just need to stop thinking about the things I want and start worrying about what I need in life. #NewYearsResolution,Personal Growth,Improve my attitude,12/26/2014,41.8144326,-96.1336262,"Arizona, NE 68061, USA",Arizona
RubyByrd,female,"Instead of making a #NewYearsResolution,I'm taking control and things differently now. Why wait until January 1st to be amazing? #ItsMyLife",Personal Growth,Acheive My Goals,12/29/2014,33.4941704,-111.9260519,"Scottsdale, AZ, USA",Arizona
CivilianConnect,female,Whatever you find your hands to do; do it. Do what makes you angry &amp; make it better. Avoid WIIFM. #NewYearsResolution,Personal Growth,Improve my attitude,12/29/2014,33.3061605,-111.8412502,"Chandler, AZ, USA",Arizona
JimSmash1984,male,My #NewYearsResolution is to be in the gym by 630 and out by 900 so I have alllllll day to POUND food.,Health & Fitness,Drink more water,12/24/2014,36.1544483,-109.5526072,"Chinle, AZ 86503, USA",Arizona
HenryBarajas,male,"I'm going to learn how to ""parkour."" #NewYearsResolution",Recreation & Leisure,Spend more time on my hobby,12/26/2014,32.2217429,-110.926479,"Tucson, AZ, USA",Arizona
xoxoxariana14,male,RT @CorinneKisses: I will take 2015 by the balls and make it my bitch. #NewYearsResolution,Humor,Humor about Helping Others Resolutions,12/28/2014,33.4483771,-112.0740373,"Phoenix, AZ, USA",Arizona
jocelyneIdiaz,female,#NewYearsResolution For us @Gnarlylet @Diaz2000Cynthia &amp; I to get noticed! &amp; make more people smile https://t.co/1lpm3buqg5,Personal Growth,Be more positive,12/22/2014,41.8144326,-96.1336262,"Arizona, NE 68061, USA",Arizona
Brit_Dyer,female,#NewYearsResolution #2015 Get that @SpartanRace Trifecta Medal. Get lean and mean for my 30th birthday in Maui with @TheDolceDiet #3w2s,Health & Fitness,Go to the gym more,12/22/2014,33.4483771,-112.0740373,"Phoenix, AZ, USA",Arizona
akaaay_,female,#NewYearsResolution don't be too critical on Zona. 😂,Personal Growth,Improve my attitude,12/23/2014,32.2217429,-110.926479,"Tucson, AZ, USA",Arizona
_MaggieOrtiz,female,"Seeing videos of my family play the guitar, sing and be musically talented is motivating me to really learn the guitar. #NewYearsResolution",Education/Training,Learn to play an instrument,12/24/2014,33.4232051,-111.8879509,"State Ave, Tempe, AZ 85281, USA",Arizona
JimSmash1984,male,Another #NewYearsResolution is no more shit talking on Twitter or otherwise. It doesn't do shit or matter. No more cowardly shit,Personal Growth,Use less social media,12/26/2014,34.2542084,-110.0298327,"Show Low, AZ, USA",Arizona
munkeezrool09,male,"""Do more gay stuff with your friends"" is the mission #2015Goals #Rusolution #NewYearsResolution",Humor,Humor about Family/Friends/Relationships Resolutions,12/26/2014,33.6367105,-111.6745826,"Fort McDowell, AZ 85264, USA",Arizona
themoj0,male,how the heck do i get more followers? #NewYearsResolution,Personal Growth,Other,12/27/2014,33.4483771,-112.0740373,"Phoenix, AZ, USA",Arizona
Anamolicious,male,Curving people I know at the mall like Y=X^2 #math #curves #school #NewYearsResolution,Humor,Humor about not Keeping Resolutions,12/27/2014,34.1533229,-109.9732484,"Lakeside, Pinetop-Lakeside, AZ 85929, USA",Arizona
misscrunch21,female,#NewYearsResolution out with fakes and the phonies time to start interacting with people that are about something.,Family/Friends/Relationships,Make new friends,12/27/2014,34.0489281,-111.0937311,"Arizona, USA",Arizona
pcinphoenix,male,All my friends have the same #NewYearsResolution ; not seeing me ever again!,Family/Friends/Relationships,Make new friends,12/27/2014,33.4483771,-112.0740373,"Phoenix, AZ, USA",Arizona
JoshBetley,male,#NewYearsResolution see at least 4 different boobs.,Humor,Humor about Family/Friends/Relationships Resolutions,12/27/2014,33.4255104,-111.9400054,"Tempe, AZ, USA",Arizona
KMM1130,female,Stress sucks......it causes so many problems! Going to focus on how to un stress and get fit! #NewYearsResolution #GetFitNaturally #stessed,Health & Fitness,Improve my body,12/28/2014,35.2250114,-112.4840675,"Ash Fork, AZ 86320, USA",Arizona
LezbianBarbiez,female,"Anyone else #Excited for 2015!!! I sure am!! A year of #newbeginnings, #newpromises, a #FreshStart and so much more! #NewYearsResolution",Personal Growth,Watch less TV,12/28/2014,35.1982836,-111.651302,"Flagstaff, AZ, USA",Arizona
victo_wong,male,One of my New Year's resolutions will be to find someone to hang out with! #NewYearsResolution  #2015,Family/Friends/Relationships,Make new friends,12/28/2014,41.8144326,-96.1336262,"Arizona, NE 68061, USA",Arizona
